"","Eq_Ind1","Eq_Ind2","VIX","LIBOR"
"198504",179.83,NA,NA,NA
"198505",189.55,NA,NA,NA
"198506",191.85,296.2,NA,NA
"198507",190.92,NA,NA,NA
"198508",188.63,NA,NA,NA
"198509",182.08,280.33,NA,NA
"198510",189.82,NA,NA,NA
"198511",202.17,NA,NA,NA
"198512",211.28,325.22,NA,NA
"198601",211.78,NA,NA,NA
"198602",226.92,NA,NA,NA
"198603",238.9,374.72,NA,NA
"198604",235.52,NA,NA,NA
"198605",247.35,NA,NA,NA
"198606",250.84,405.51,NA,NA
"198607",236.12,NA,NA,NA
"198608",252.93,NA,NA,NA
"198609",231.32,350.67,NA,NA
"198610",243.98,NA,NA,NA
"198611",249.22,NA,NA,NA
"198612",242.17,348.83,NA,NA
"198701",274.08,NA,NA,NA
"198702",284.2,NA,NA,NA
"198703",291.7,430.05,NA,NA
"198704",288.36,NA,NA,NA
"198705",290.1,NA,NA,NA
"198706",304,424.67,NA,NA
"198707",318.66,NA,NA,NA
"198708",329.8,NA,NA,NA
"198709",321.83,444.29,NA,NA
"198710",251.79,NA,NA,NA
"198711",230.3,NA,NA,NA
"198712",247.08,330.47,NA,NA
"198801",257.07,NA,NA,NA
"198802",267.82,NA,NA,NA
"198803",258.89,374.64,NA,NA
"198804",261.33,NA,NA,NA
"198805",262.16,NA,NA,NA
"198806",273.5,394.66,NA,NA
"198807",272.02,NA,NA,NA
"198808",261.52,NA,NA,NA
"198809",271.91,387.71,NA,NA
"198810",278.97,NA,NA,NA
"198811",273.7,NA,NA,NA
"198812",277.72,381.38,NA,NA
"198901",297.47,NA,NA,NA
"198902",288.86,NA,NA,NA
"198903",150,406.73,NA,NA
"198904",309.64,NA,NA,NA
"198905",320.52,NA,NA,NA
"198906",317.98,434.12,NA,NA
"198907",346.08,NA,NA,NA
"198908",351.45,NA,NA,NA
"198909",349.15,472.92,NA,NA
"198910",340.36,NA,NA,NA
"198911",345.99,NA,NA,7.375
"198912",353.4,454.82,NA,8.875
"199001",329.08,NA,25.36,9.9375
"199002",331.89,NA,21.99,9.25
"199003",339.94,435.54,19.73,9.125
"199004",330.8,NA,19.52,9.375
"199005",361.23,NA,17.37,8.75
"199006",358.02,462.29,15.5,8.9375
"199007",356.15,NA,21.11,8.875
"199008",322.56,NA,29.9,8.3125
"199009",306.05,344.51,29.11,8.0625
"199010",304,NA,30.04,8.125
"199011",322.22,NA,22.16,9.19
"199012",330.22,373.84,26.38,8.75
"199101",343.93,NA,20.91,8
"199102",367.07,NA,21.23,8.25
"199103",375.22,482.3,NA,8.56
"199104",375.35,NA,18.24,8.63
"199105",389.83,NA,15.93,8.13
"199106",371.16,475.92,19.55,8.0625
"199107",387.81,NA,15.18,7.875
"199108",395.43,NA,14.46,8.125
"199109",387.86,526.88,15.85,8.1875
"199110",392.46,NA,15.48,8
"199111",375.22,NA,20.26,8.125
"199112",417.09,586.34,19.31,8.0625
"199201",408.79,NA,17.4,7.5
"199202",412.7,NA,16.68,7.75
"199203",403.69,603.77,16.18,9.0625
"199204",414.95,NA,15.53,8.9375
"199205",415.35,NA,13.86,9.625
"199206",408.14,563.6,13.35,9.125
"199207",424.21,NA,13.17,8.5
"199208",414.03,NA,13.58,7.8125
"199209",417.8,583.27,14.28,6.875
"199210",418.68,NA,16.15,6.3125
"199211",431.35,NA,13.01,6.9375
"199212",435.71,676.95,12.57,6.125
"199301",438.78,NA,12.42,5.5
"199302",443.38,NA,13.16,5.625
"199303",451.67,690.13,12.53,5.4375
"199304",440.19,NA,12.42,5.3125
"199305",450.19,NA,NA,5.1875
"199306",450.53,703.95,11.26,5.1875
"199307",448.13,NA,11.73,4.75
"199308",463.56,NA,11.85,5
"199309",458.93,762.78,12.99,4.75
"199310",467.83,NA,11.46,4.625
"199311",461.79,NA,13.76,4.75
"199312",466.45,776.82,11.66,4.3125
"199401",481.61,NA,10.63,4.3125
"199402",467.14,NA,14.87,4.25
"199403",445.77,743.46,20.45,4.25
"199404",450.91,NA,13.77,3.9375
"199405",456.5,NA,13.03,4.3125
"199406",444.27,705.93,14.97,4.25
"199407",458.26,NA,11.13,4.3125
"199408",475.49,NA,11.97,4.1875
"199409",462.69,764.42,14.28,3.9375
"199410",472.35,NA,14.56,3.75
"199411",453.69,NA,15.95,3.875
"199412",459.27,751.96,13.2,3.9375
"199501",470.42,NA,11.96,3.8125
"199502",487.39,NA,11.75,3.625
"199503",500.71,817.21,13.37,3.5
"199504",514.71,NA,11.75,3.4375
"199505",533.4,NA,12.85,3.25
"199506",544.75,933.45,11.38,3.125
"199507",562.06,NA,13.49,2.625
"199508",561.88,NA,11.52,2.875
"199509",584.41,1043.54,12.74,2.46875
"199510",581.5,NA,13.83,2
"199511",605.37,NA,11.58,2.3125
"199512",615.93,1052.14,12.52,1.8125
"199601",636.02,NA,12.53,1.76563
"199602",640.43,NA,17.04,1.57813
"199603",645.5,1101.38,18.88,1.76563
"199604",654.17,NA,15.83,1.875
"199605",669.12,NA,16.07,2.70313
"199606",670.63,1185.02,13.68,2.5
"199607",639.95,NA,19.46,2.5
"199608",651.99,NA,17.01,2.11719
"199609",687.31,1226.91,16.95,1.39063
"199610",705.27,NA,18.11,1.67969
"199611",757.02,NA,17.14,2.125
"199612",740.74,1291.03,20.92,1.8125
"199701",786.16,NA,NA,1.71094
"199702",790.82,NA,21.1,1.75
"199703",757.12,1221.7,22.14,1.875
"199704",801.34,NA,20.06,1.73438
"199705",848.28,NA,19.19,0.98828
"199706",885.14,1442.07,21.53,1.375
"199707",954.29,NA,21.48,1.51563
"199708",899.47,NA,24.76,1.25391
"199709",947.28,1685.69,22.91,1.38672
"199710",914.62,NA,35.09,1.75
"199711",955.4,NA,27.43,1.875
"199712",970.43,1570.35,24.01,1.25
"199801",980.28,NA,21.47,1.0625
"199802",1049.34,NA,18.55,0.875
"199803",1101.75,1835.68,24.22,1.4375
"199804",1111.75,NA,21.18,1.47656
"199805",1090.82,NA,21.32,1.6875
"199806",1133.84,1894.74,19.71,2.16406
"199807",1120.67,NA,24.8,1.84375
"199808",957.28,NA,44.28,1.57031
"199809",1017.01,1693.84,40.95,1.375
"199810",1098.67,NA,28.05,1
"199811",1163.63,NA,26.01,1.81281
"199812",1229.23,2192.69,24.42,1.25
"199901",1279.64,NA,26.25,1.19458
"199902",1238.33,NA,27.88,1.24333
"199903",1286.37,2461.4,23.26,1.19125
"199904",1335.18,NA,25.07,0.96167
"199905",1301.84,NA,NA,1
"199906",1372.71,2686.12,21.09,1.17833
"199907",1328.72,NA,24.64,1.02167
"199908",1320.41,NA,24.45,0.96333
"199909",1282.71,2746.16,25.41,1.19167
"199910",1362.93,NA,22.2,1.17333
"199911",1388.91,NA,24.18,2.04333
"199912",1469.25,4069.31,24.64,1.58833
"200001",1394.46,NA,24.95,2.06833
"200002",1366.42,NA,23.37,2.2
"200003",1498.58,4572.83,24.11,2.575
"200004",1452.43,NA,26.2,3.1
"200005",1420.6,NA,23.65,2.78333
"200006",1454.6,3966.11,19.54,3.23667
"200007",1430.83,NA,20.74,3.21
"200008",1517.68,NA,16.84,3.265
"200009",1436.51,3672.82,20.57,3.28167
"200010",1429.4,NA,23.63,3.21667
"200011",1314.95,NA,29.65,3.45
"200012",1320.28,2470.52,26.85,3.36667
"200101",1366.01,NA,22.02,3.45833
"200102",1239.94,NA,28.35,3.43
"200103",1160.33,1840.26,28.64,3.365
"200104",1249.46,NA,25.48,3.17667
"200105",1255.82,NA,22.64,3.28
"200106",1224.42,2161.24,19.06,3.28333
"200107",1211.23,NA,21.62,3.25333
"200108",1133.58,NA,24.92,3.33833
"200109",1040.94,1498.8,31.93,2.24667
"200110",1059.78,NA,33.56,2.14167
"200111",1139.45,NA,23.84,2.10333
"200112",1148.08,1950.4,23.8,1.78833
"200201",1130.2,NA,21.09,1.61333
"200202",1106.73,NA,21.59,1.705
"200203",1147.39,1845.35,NA,1.51
"200204",1076.92,NA,21.91,1.52
